1	16	4	13	5
2	5	4	18	8
5	5	2	2	5
8	18	15	17	14
7	19	3	4	1
13	11	7	7	11
13	12	20	8	7
7	14	19	18	2
2	6	12	5	7
5	13	1	3	17
15	7	7	14	12
7	11	8	16	2
9	11	10	11	19
13	16	11	7	4
10	6	18	20	18
10	3	6	7	1
20	12	4	13	10
10	7	4	15	7
11	15	13	2	18
4	9	4	4	7
7	11	6	5	16
2	16	20	17	9
12	20	16	19	2
4	16	5	20	16
1	9	16	16	12
8	1	4	13	19
10	15	6	2	5
4	19	20	2	20
7	7	10	6	18
15	18	17	17	17
13	8	17	7	20
15	10	15	11	5
12	4	17	12	7
10	13	19	6	2
4	14	7	5	8
13	10	7	14	10
18	19	8	9	2
2	16	20	9	9
18	7	14	12	7
13	2	15	13	7
8	7	11	12	10
12	4	7	3	8
20	16	16	15	9
6	14	2	3	16
5	10	16	1	1
9	13	9	10	10
8	19	10	13	8
8	20	5	18	11
4	19	7	1	12
18	16	10	16	17
9	10	13	13	7
18	8	14	2	19
8	8	2	14	11
9	4	18	2	11
8	16	14	5	2
10	11	2	14	8
18	15	18	5	3
1	16	16	15	9
16	16	1	11	8
6	3	15	12	2
19	13	11	20	13
7	14	8	2	15
2	14	15	13	5
17	11	14	8	18
9	3	15	2	5
19	10	7	5	13
15	8	9	11	11
14	11	9	20	15
14	11	3	6	8
9	6	4	4	10
9	15	14	7	3
17	4	11	18	16
16	12	5	14	16
5	2	9	20	11
11	10	18	2	11
4	20	8	18	17
19	19	6	9	5
18	10	13	20	15
18	11	20	9	3
20	6	5	5	16
18	5	14	15	6
6	15	17	5	19
12	13	16	7	16
11	1	16	12	7
5	16	10	6	7
4	15	19	16	12
5	3	20	10	6
3	4	1	2	12
19	6	8	3	12
14	14	10	17	2
10	13	4	3	4
13	6	17	10	6
2	12	3	18	5
13	10	4	11	8
8	20	16	12	17
14	14	6	9	1
18	8	7	19	1
5	20	4	9	7
16	8	12	15	6
10	15	12	8	9
12	9	15	11	13
7	14	14	19	18
2	1	15	18	11
17	19	16	14	3
17	20	19	15	16
18	17	18	1	1
8	17	2	13	10
13	9	3	15	8
6	15	20	8	13
6	16	8	5	20
