1647240 95 90 93 1 278 279   998 485
7593512 90 95 93 1 278 279    
9515089 100 98 78 6 276 282    
8990077 90 94 92 2 276 278    
3553994 94 98 83 2 275 277    
6444730 82 94 97 1 273 274    
3367855 92 100 80 5 272 277    
6060284 94 85 88 2 267 269    
9025094 85 98 82 7 265 272    
5510026 82 99 83 9 264 273    
3555177 83 83 97 9 263 272    
7428008 93 93 77 8 263 271    
5797818 94 79 87 7 260 267    
5944289 83 94 82 8 259 267    
1125256 78 96 85 5 259 264    
2230171 92 86 80 8 258 266    
9371151 88 85 83 4 256 260    
2728335 94 96 66 1 256 257    
2327610 89 85 81 8 255 263    
5245088 95 80 78 8 253 261    
4453615 91 78 84 6 253 259    
8798059 94 92 67 6 253 259    
4633000 96 86 71 5 253 258    
4728705 85 69 99 2 253 255    
3231873 100 80 72 7 252 259    
3698501 93 76 83 6 252 258    
56525 83 97 72 5 252 257    
5344271 78 98 75 3 251 254    
7276834 92 61 97 5 250 255    
5076874 71 84 94 6 249 255    
7001768 63 98 88 1 249 250    
8073943 88 81 79 9 248 257    
9753459 93 99 56 6 248 254    
7551725 74 76 93 6 243 249    
7746683 98 56 89 6 243 249    
7177585 74 95 74 5 243 248    
55410 87 93 63 2 243 245    
4597340 77 94 70 6 241 247    
5231206 72 89 80 6 241 247    
9673339 94 80 67 4 241 245    
2493915 86 85 70 2 241 243    
1758189 57 95 88 5 240 245    
4682861 91 91 58 4 240 244    
2317405 98 78 64 2 240 242    
8259349 94 72 74 1 240 241    
5461296 56 91 92 8 239 247    
4380112 68 77 94 1 239 240    
5729662 82 56 100 9 238 247    
7603082 82 88 68 5 238 243    
5982337 89 57 91 3 237 240    
8773067 84 59 93 6 236 242    
3840981 79 95 61 10 235 245    
4031746 93 58 84 6 235 241    
4950486 72 94 69 1 235 236    
8502227 64 100 70 5 234 239    
3273598 73 89 71 8 233 241    
7052623 83 76 74 8 233 241    
3245476 50 98 85 2 233 235    
6470270 50 88 94 9 232 241    
8925532 89 72 70 6 231 237    
8266100 76 96 59 2 231 233    
2387814 80 79 71 8 230 238    
6420328 95 71 64 8 230 238    
9528765 73 69 88 7 230 237    
5133254 70 98 62 5 230 235    
8604487 70 70 90 3 230 233    
8942306 97 63 70 2 230 232    
2456711 94 86 48 9 228 237    
2393121 77 96 54 7 227 234    
1406436 82 94 51 6 227 233    
809345 87 81 58 6 226 232    
7576102 64 100 61 8 225 233    
1378110 32 96 97 5 225 230    
6361212 75 75 75 2 225 227    
7038558 56 89 79 2 224 226    
5347339 73 53 97 10 223 233    
403442 58 96 69 9 223 232    
6131062 62 87 74 6 223 229    
9389079 81 59 83 6 223 229    
5882381 49 94 80 2 223 225    
810959 94 76 52 7 222 229    
2352515 98 53 71 6 222 228    
7526251 63 87 72 6 222 228    
654031 87 73 60 8 220 228    
1210716 64 97 59 5 220 225    
7118014 96 51 72 8 219 227    
5137855 69 69 80 4 218 222    
1217755 100 52 65 10 217 227    
3551565 52 90 75 8 217 225    
7234468 100 58 59 8 217 225    
6200143 39 85 93 7 217 224    
5063047 42 99 76 6 217 223    
9386849 49 92 76 6 217 223    
3962781 100 60 57 5 217 222    
3566260 84 82 51 1 217 218    
8136441 94 37 85 7 216 223    
1373205 60 95 61 5 216 221    
3393038 63 53 100 5 216 221    
4383433 78 98 40 2 216 218    
9570539 47 78 90 9 215 224    
6117224 48 82 85 8 215 223    
9033616 99 99 17 6 215 221    
8819341 62 89 64 5 215 220    
3752713 92 65 58 4 215 219    
5474415 68 78 68 10 214 224    
